Process Flow ID,Process Name,Swimlane / Team,Step Name,System Used,Input Artifact,Output Artifact,Estimated Duration,SLA Target,Decision Point,Decision Outcome,Manual Step Flag,Macro Used Count,Bot Used Count,Control Point Flag,Handoff Team,Pain Point / Gap,Holistic Review Comment,Final Step Status
PF-090001,Voluntary Corporate Action Publishing,Client Service,Step 1: Notify,JEFE,Reconciliation Report,Closed Ticket,76 min,8h,N,N/A,Y,0,0,N,Branch Operations,No automated alerting if Critical Date Report not pulled,,Deprecated
PF-090002,Voluntary Corporate Action Publishing,Reorg / Physical Cert,Step 2: Match,DTC PTS,Excel Worksheet,DTC Instruction,87 min,8h,N,N/A,N,0,0,N,Fee Billing,No automated alerting if Critical Date Report not pulled,Consolidate two adjacent reviews,Under Review
PF-090003,Voluntary Corporate Action Publishing,Technology,Step 3: Validate,Excel/VBA Macro,Bulletin PDF,REOR Entry,107 min,1h,N,N/A,Y,1,0,N,Mandatory CA Team,Manual journal approvals require physical sign-off,Consolidate two adjacent reviews,Under Review
PF-090004,Voluntary Corporate Action Publishing,Client Service,Step 4: Approve,DSNet,Email,Updated Worksheet,8 min,48h,N,N/A,Y,1,0,N,Client Service,Manual rekeying between Broadridge and REOR,Candidate for automation,Under Review
PF-090005,Voluntary Corporate Action Publishing,Fee Billing,Step 5: Match,DTC PTS,Bulletin PDF,DSNet Publication,54 min,2h,N,N/A,N,0,0,N,Fee Billing,Letter mailing depends on overnight batch; weekend gap,,Deprecated
PF-090006,DI Client Notification,Voluntary CA Team,Step 1: Reconcile,REOR,Cert Package,Closed Ticket,17 min,8h,Y,Proceed,N,0,2,N,Fee Billing,Vendor portal session timeouts cause rework,Strengthen evidence retention,Active
PF-090007,DI Client Notification,Fee Billing,Step 2: Match,DTC PTS,Email,DSNet Publication,61 min,8h,Y,N/A,Y,0,0,N,Technology,PTO coverage informal; mailbox sometimes unmonitored,Reduce maker-checker friction with workflow tool,Under Review
PF-090008,DI Client Notification,Technology,Step 3: Validate,Bloomberg,Client Letter Template,DSNet Publication,119 min,48h,N,N/A,N,0,2,Y,Voluntary CA Team,Reconciliation tolerance not codified,,Active
PF-090009,DI Client Notification,Client Service,Step 4: Approve,DSNet,Excel Worksheet,VES Entry,70 min,4h,N,N/A,N,0,0,Y,,Manual rekeying between Broadridge and REOR,Replace macro with bot,Active
PF-090010,DI Client Notification,Tax Operations,Step 5: Escalate,Bloomberg,Client Letter Template,DSNet Publication,44 min,4h,N,N/A,Y,0,0,Y,Shareholder Services,,Consolidate two adjacent reviews,Deprecated
