ERIC Control Number,Control Name,Control Objective,Control Description,Control Owner,Contact,Control Status,ORMS Business Unit Lvl 1,ORMS Business Unit Lvl 2,Key Control,Risk,RCM Control Identifier,RCM Control Flag,SOX Control,Regulation,Regulation Lead,Control Effectiveness,Control Effectiveness Due Date,Control Type,Control Method
ERIC-C-01001,Account Transfer Verification,To ensure account transfer verification are completed accurately and timely to mitigate processing & execution risk.,Account Transfer Verification performed weekly by Trade Settlements team using SharePoint. Maker-checker required. Evidence retained 7 years. Exceptions escalated to Operations Manager.,Rowan Trevelyan,Quinn Linwood,Published,Wealth Management Operations,Trade Settlements,Yes,Processing & Execution Risk,RCM-84364,RCM Only,N,PIPEDA,Casey Zerafa,Effective,2027-04-22,Detective,Manual
ERIC-C-01002,KYC Due Diligence Review,To ensure kyc due diligence review are completed accurately and timely to mitigate money laundering risk.,KYC Due Diligence Review performed weekly by Client Onboarding team using REOR. Maker-checker required. Evidence retained 5 years. Exceptions escalated to Risk Lead.,Parker Yablonski,Reese Eastwick,Published,Wealth Management Operations,Client Onboarding,Yes,Money Laundering Risk,RCM-89507,RCM Only,N,Reg BI,Sage Xanthopoulos,Effective with Exceptions,2026-04-02,Preventative,Combination
ERIC-C-01003,Sanctions Screening Daily,To ensure sanctions screening daily are completed accurately and timely to mitigate money laundering risk.,Sanctions Screening Daily performed weekly by Client Onboarding team using Broadridge. Automated reconciliation with exception report. Evidence retained 3 years. Exceptions escalated to Risk Lead.,Riley Grenville,Sasha Linwood,Published,Wealth Management Operations,Client Onboarding,Yes,Money Laundering Risk,RCM-42493,RCM Only,N,CSA NI 81-105,Phoenix Caldera,Effective,2027-04-16,Preventative,Automatic
ERIC-C-01004,Wire Payment Maker-Checker,To ensure wire payment maker-checker are completed accurately and timely to mitigate fraud risk.,Wire Payment Maker-Checker performed weekly by Trade Settlements team using TradeLink. Maker-checker required. Evidence retained 3 years. Exceptions escalated to Operations Manager.,Drew Stensgaard,Morgan Xanthopoulos,Published,Wealth Management Operations,Trade Settlements,Yes,Fraud Risk,RCM-53309,RCM Only,Y,CSA NI 81-105,Sage Okafor,Effective,2027-01-03,Preventative,Manual
ERIC-C-01005,Trade Confirmation Match,To ensure trade confirmation match are completed accurately and timely to mitigate processing & execution risk.,Trade Confirmation Match performed daily by Trade Settlements team using Broadridge. Automated reconciliation with exception report. Evidence retained 5 years. Exceptions escalated to Risk Lead.,Sage Falconer,Remy Iversen,Published,Wealth Management Operations,Trade Settlements,Yes,Processing & Execution Risk,RCM-66498,Non RCM,Y,CRS,Morgan Xanthopoulos,Effective,2026-05-08,Detective,Automatic
ERIC-C-01006,Client Statement QA Review,To ensure client statement qa review are completed accurately and timely to mitigate processing & execution risk.,Client Statement QA Review performed daily by Statements & Confirms team using TradeLink. Maker-checker required. Evidence retained 7 years. Exceptions escalated to Team Lead.,Morgan Asher,Riley Marchetti,Published,Direct Investing Operations,Statements & Confirms,Yes,Processing & Execution Risk,RCM-80292,RCM Plus,Y,SOX,Phoenix Nakatani,Effective,2027-05-20,Detective,Manual
ERIC-C-01007,Voluntary CA Bulletin Review,To ensure voluntary ca bulletin review are completed accurately and timely to mitigate processing & execution risk.,Voluntary CA Bulletin Review performed daily by Voluntary Events team using SharePoint. Maker-checker required. Evidence retained 5 years. Exceptions escalated to Team Lead.,Morgan Zerafa,Taylor Caldera,Published,Asset Servicing,Voluntary Events,Yes,Processing & Execution Risk,RCM-40982,RCM Plus,Y,CRM2,Phoenix Rasmussen,Effective,2026-06-26,Detective,Manual
ERIC-C-01008,Mandatory CA Entitlement Recon,To ensure mandatory ca entitlement recon are completed accurately and timely to mitigate processing & execution risk.,Mandatory CA Entitlement Recon performed quarterly by Mandatory Events team using SharePoint. Maker-checker required. Evidence retained 3 years. Exceptions escalated to Operations Manager.,Riley Rasmussen,Riley Grenville,Published,Asset Servicing,Mandatory Events,No,Processing & Execution Risk,RCM-65444,Non RCM,N,Privacy Act,Riley Marchetti,Effective with Exceptions,2026-03-03,Detective,Combination
ERIC-C-01009,Optional Dividend Election Cutoff,To ensure optional dividend election cutoff are completed accurately and timely to mitigate processing & execution risk.,Optional Dividend Election Cutoff performed weekly by Voluntary Events team using Broadridge. Maker-checker required. Evidence retained 7 years. Exceptions escalated to Team Lead.,Reese Zerafa,Sage Quintero,Published,Asset Servicing,Voluntary Events,No,Processing & Execution Risk,RCM-51104,RCM Only,Y,Privacy Act,Sage Quintero,Not Yet Rated,2027-01-11,Preventative,Manual
ERIC-C-01010,Fee Billing Calculation Review,To ensure fee billing calculation review are completed accurately and timely to mitigate processing & execution risk.,Fee Billing Calculation Review performed daily by Fee Billing & Reporting team using RCM. Maker-checker required. Evidence retained 5 years. Exceptions escalated to Risk Lead.,Quinn Velazquez,Reese Rasmussen,Published,Wealth Management Operations,Fee Billing & Reporting,No,Processing & Execution Risk,RCM-40828,RCM Only,Y,Reg BI,Reese Warburton,Effective with Exceptions,2027-05-24,Detective,Combination
