Event ID,Impact ID,Day of GL Date,Day of Creation Date,Impact Type,Characteristic of Impact,Impacted Business Line Tier 2,Primary Responsible Business Line Tier 2,Risk Classification Level 1,Root Cause Level 2,Summary Description,"Impact Amount, CAD"
LE_10000001,LI_20000001,2025-10-08,2025-10-28,Loss,P&L Loss (no GL entry),Lending Operations,Lending Operations,Processing & Execution Risk,Inadequate execution of processes,Settlement break unresolved beyond SLA; reconciliation gap.,1356.52
LE_10000002,LI_20000002,2025-11-03,2025-11-22,Loss,Reputational Impact,Client Onboarding,Client Onboarding,Fraud Risk,External fraud - digital,Phishing attempt against client intercepted by fraud team.,0.0
LE_10000003,LI_20000003,2024-11-13,2024-12-03,Gain,Legal Settlement,Discretionary Portfolio Ops,Discretionary Portfolio Ops,Tax Risk,Inadequate execution of processes,Late filing of tax slip resulting in regulatory penalty.,4592.06
LE_10000004,LI_20000004,2025-01-20,2025-02-09,Gain,Legal Fees,Self-Directed Trading Ops,Self-Directed Trading Ops,Processing & Execution Risk,"Inadequate design of policy, procedure, or process",Reorg expiry set equal to issuer expiry instead of 2BD prior.,1616.95
LE_10000005,LI_20000005,2024-01-19,2024-01-30,Gain,Client Billing Error,Fixed Income Settlements,Fixed Income Settlements,Fraud Risk,External fraud - digital,Phishing attempt against client intercepted by fraud team.,2591.59
LE_10000006,LI_20000006,2024-06-07,2024-06-09,Loss,Near Miss,Equity Settlements,Equity Settlements,Processing & Execution Risk,Inadequate execution of processes,Mandatory entitlement under-allocated; cash-in-lieu adjustment required.,0.0
LE_10000007,LI_20000007,2024-12-10,2024-12-29,Timing Errors,Regulatory Impact,Reconciliations,Reconciliations,Processing & Execution Risk,Inadequate execution of processes,Mandatory entitlement under-allocated; cash-in-lieu adjustment required.,85.12
LE_10000008,LI_20000008,2026-04-08,2026-04-13,Loss,Legal Settlement,Physical Certificates,Physical Certificates,Tax Risk,Inadequate execution of processes,Late filing of tax slip resulting in regulatory penalty.,19288.89
LE_10000009,LI_20000009,2025-09-17,2025-09-26,Loss,Reputational Impact,Self-Directed Trading Ops,Self-Directed Trading Ops,Processing & Execution Risk,"Inadequate design of policy, procedure, or process",DTC mandatory event misrouted to voluntary team.,0.0
LE_10000010,LI_20000010,2024-07-17,2024-07-28,Loss,Provision (non-legal),Self-Directed Trading Ops,Self-Directed Trading Ops,Financial Reporting Risk,Clerical errors or miscommunication of instructions,Cheque deposit posted to wrong control account.,19620.04
LE_10000011,LI_20000011,2025-03-04,2025-03-09,Loss,Provision (non-legal),Physical Certificates,Physical Certificates,Processing & Execution Risk,Inadequate execution of processes,Critical Date Report not pulled; near-expiry event missed.,12597.52
LE_10000012,LI_20000012,2025-10-18,2025-11-02,Other Incidents,Write-off,Mandatory Events,Mandatory Events,Third Party Risk,Third party supplier,Vendor outage: depository feed delayed by 4 hours.,0.0
LE_10000013,LI_20000013,2026-02-20,2026-02-25,Timing Errors,Loss of Control (not recorded in P&L),Entitlements,Entitlements,Processing & Execution Risk,Inadequate execution of processes,Settlement break unresolved beyond SLA; reconciliation gap.,577.28
LE_10000014,LI_20000014,2026-04-16,2026-04-30,Loss,Client Billing Error,Statements & Confirms,Statements & Confirms,Processing & Execution Risk,Inadequate execution of processes,Bond redemption proceeds posted late to client account.,22767.1
LE_10000015,LI_20000015,2024-03-24,2024-04-04,Loss,Loss of Control (not recorded in P&L),Fee Billing & Reporting,Fee Billing & Reporting,Processing & Execution Risk,Inadequate execution of processes,Settlement break unresolved beyond SLA; reconciliation gap.,9684.84
LE_10000016,LI_20000016,2025-10-27,2025-11-06,Other Incidents,Regulatory Impact,Client Onboarding,Client Onboarding,Processing & Execution Risk,Clerical errors or miscommunication of instructions,Voluntary corporate action election missed cutoff.,0.0
LE_10000017,LI_20000017,2025-12-23,2026-01-07,Loss,Near Miss,Fixed Income Settlements,Fixed Income Settlements,Tax Risk,Inadequate execution of processes,Late filing of tax slip resulting in regulatory penalty.,0.0
LE_10000018,LI_20000018,2024-09-19,2024-09-25,Other Incidents,Write-off,Entitlements,Entitlements,Tax Risk,"Lack of adequate skills, knowledge, or training",Withholding tax applied at incorrect treaty rate.,0.0
LE_10000019,LI_20000019,2024-05-04,2024-05-05,Loss,Legal Fees,Shareholder Services,Shareholder Services,Tax Risk,Inadequate execution of processes,Late filing of tax slip resulting in regulatory penalty.,5979.12
LE_10000020,LI_20000020,2025-05-26,2025-06-14,Timing Errors,Near Miss,Statements & Confirms,Statements & Confirms,Processing & Execution Risk,Clerical errors or miscommunication of instructions,Voluntary corporate action election missed cutoff.,0.0
LE_10000021,LI_20000021,2024-01-02,2024-01-21,Loss,Regulatory Fine,Tax Operations,Tax Operations,Information Technology Risk,Inappropriate access granted or authorized access not granted,Former employee retained REOR access post-termination.,7317.24
