ORMS Business Unit Lvl 1,ORMS Business Unit Lvl 2,Risk Classification Level 1,Risk Classification Level 2,Inherent Risk Rating Final,Residual Risk Rating Final,Root Cause Classification Level 1,Root Cause Classification Level 2,ERIC Risk Number,Risk Statement,Risk Owner,Risk Status,ERIC Control Number,Control Environment Rating,Control Name,RCM Control Identifier,Key Control,Most Recent Published CA Conclusion,SOX Control
Asset Servicing,Mandatory Events,Information Technology Risk,Cyber Risk,Medium,Medium,Process Failure,Ineffective development or testing,ERIC-R-05001,"Risk that IT systems fail, are unavailable, or are compromised.",Quinn Asher,Under Review,ERIC-C-01018,Needs Improvement,IT Access Quarterly Review,RCM-97806,No,Effective with Exceptions,N
Capital Markets Operations,Equity Settlements,Fraud Risk,External Fraud - Digital,Low,Low,External Event,External fraud - excluding digital,ERIC-R-05002,Risk that internal or external actors execute unauthorized transactions or misappropriate assets.,Casey Warburton,Active,ERIC-C-01025,Adequate,Physical Cert Chain-of-Custody Log,RCM-22240,No,Not Yet Concluded,N
Capital Markets Operations,Equity Settlements,Fraud Risk,External Fraud - Digital,Low,Low,External Event,External fraud - excluding digital,ERIC-R-05002,Risk that internal or external actors execute unauthorized transactions or misappropriate assets.,Hayden Quintero,Active,ERIC-C-01004,Needs Improvement,Wire Payment Maker-Checker,RCM-53309,Yes,Effective with Exceptions,Y
Capital Markets Operations,Equity Settlements,Fraud Risk,External Fraud - Digital,Low,Low,External Event,External fraud - excluding digital,ERIC-R-05002,Risk that internal or external actors execute unauthorized transactions or misappropriate assets.,Taylor Nakatani,Active,ERIC-C-01014,Needs Improvement,Vault Access Authorization,RCM-89276,Yes,Not Yet Concluded,Y
Direct Investing Operations,Self-Directed Trading Ops,Information Technology Risk,Cyber Risk,Medium,Medium,People Failure,"Lack of adequate skills, knowledge, or training",ERIC-R-05003,"Risk that IT systems fail, are unavailable, or are compromised.",Jordan Underhill,Active,ERIC-C-01018,Strong,IT Access Quarterly Review,RCM-97806,No,Adequate,N
Private Banking Operations,Discretionary Portfolio Ops,Information Management Risk,Data Quality,High,Medium,Third Party Failure,Third party supplier,ERIC-R-05004,"Risk that data is incomplete, inaccurate, or inappropriately retained.",Morgan Zerafa,Active,ERIC-C-01005,Adequate,Trade Confirmation Match,RCM-66498,Yes,Effective,Y
Direct Investing Operations,Account Maintenance,Fraud Risk,External Fraud - Digital,Medium,Medium,People Failure,Lack of diligence,ERIC-R-05005,Risk that internal or external actors execute unauthorized transactions or misappropriate assets.,Sage Eastwick,Under Review,ERIC-C-01025,Adequate,Physical Cert Chain-of-Custody Log,RCM-22240,No,Not Yet Concluded,N
Direct Investing Operations,Account Maintenance,Fraud Risk,External Fraud - Digital,Medium,Medium,People Failure,Lack of diligence,ERIC-R-05005,Risk that internal or external actors execute unauthorized transactions or misappropriate assets.,Quinn Asher,Under Review,ERIC-C-01014,Strong,Vault Access Authorization,RCM-89276,Yes,Effective,Y
Asset Servicing,Shareholder Services,Information Technology Risk,Application Failure,Medium,Low,System Failure,Technology failure,ERIC-R-05006,"Risk that IT systems fail, are unavailable, or are compromised.",Quinn Velazquez,Active,ERIC-C-01018,Adequate,IT Access Quarterly Review,RCM-97806,No,Effective,N
Capital Markets Operations,Derivatives Operations,Financial Reporting Risk,Control Account Variances,Low,Low,System Failure,Inappropriate access granted or authorized access not granted,ERIC-R-05007,Risk that financial records or reports are materially misstated.,Quinn Velazquez,Active,ERIC-C-01011,Adequate,Control Account Daily Reconciliation,RCM-44179,No,Effective with Exceptions,Y
Capital Markets Operations,Derivatives Operations,Financial Reporting Risk,Control Account Variances,Low,Low,System Failure,Inappropriate access granted or authorized access not granted,ERIC-R-05007,Risk that financial records or reports are materially misstated.,Reese Zerafa,Active,ERIC-C-01012,Strong,Journal Entry Approval,RCM-23104,Yes,Not Yet Concluded,Y
Private Banking Operations,Lending Operations,Legal Risk,Documentation Gaps,Medium,Medium,People Failure,Intentional employee misdeeds,ERIC-R-05008,Risk that contractual or documentation gaps result in litigation or unenforceability.,Riley Marchetti,Active,ERIC-C-01009,Needs Improvement,Optional Dividend Election Cutoff,RCM-51104,No,Effective,Y
Private Banking Operations,Lending Operations,Legal Risk,Documentation Gaps,Medium,Medium,People Failure,Intentional employee misdeeds,ERIC-R-05008,Risk that contractual or documentation gaps result in litigation or unenforceability.,Sage Quintero,Active,ERIC-C-01003,Adequate,Sanctions Screening Daily,RCM-42493,Yes,Effective,N
Capital Markets Operations,Equity Settlements,Financial Reporting Risk,Journal Entry Errors,Low,Low,System Failure,Inappropriate access granted or authorized access not granted,ERIC-R-05009,Risk that financial records or reports are materially misstated.,Avery Yablonski,Active,ERIC-C-01011,Strong,Control Account Daily Reconciliation,RCM-44179,No,Effective,Y
Private Banking Operations,Discretionary Portfolio Ops,Money Laundering Risk,Transaction Monitoring Gaps,Medium,Low,External Event,External fraud - excluding digital,ERIC-R-05010,Risk that the firm facilitates money laundering or terrorist financing.,Remy Iversen,Active,ERIC-C-01002,Needs Improvement,KYC Due Diligence Review,RCM-89507,Yes,Ineffective,N
Direct Investing Operations,Account Maintenance,Third Party Risk,Subcontractor Risk,Low,Low,People Failure,Lack of diligence,ERIC-R-05011,Risk arising from dependence on external vendors or service providers.,Skyler Linwood,Under Review,ERIC-C-01017,Adequate,Third-Party Performance Monitoring,RCM-63264,No,Effective,N
Wealth Management Operations,Client Onboarding,Fraud Risk,External Fraud - Physical,Medium,Medium,Process Failure,"Inadequate design of policy, procedure, or process",ERIC-R-05012,Risk that internal or external actors execute unauthorized transactions or misappropriate assets.,Remy Iversen,Active,ERIC-C-01014,Strong,Vault Access Authorization,RCM-89276,Yes,Adequate,Y
Wealth Management Operations,Client Onboarding,Fraud Risk,External Fraud - Physical,Medium,Medium,Process Failure,"Inadequate design of policy, procedure, or process",ERIC-R-05012,Risk that internal or external actors execute unauthorized transactions or misappropriate assets.,Phoenix Rasmussen,Active,ERIC-C-01004,Adequate,Wire Payment Maker-Checker,RCM-53309,Yes,Not Yet Concluded,Y
Wealth Management Operations,Client Onboarding,Fraud Risk,External Fraud - Physical,Medium,Medium,Process Failure,"Inadequate design of policy, procedure, or process",ERIC-R-05012,Risk that internal or external actors execute unauthorized transactions or misappropriate assets.,Sage Devereux,Active,ERIC-C-01013,Needs Improvement,Physical Security Count,RCM-95717,No,Effective with Exceptions,N
Direct Investing Operations,Account Maintenance,Financial Reporting Risk,Control Account Variances,Low,Low,System Failure,Inappropriate access granted or authorized access not granted,ERIC-R-05013,Risk that financial records or reports are materially misstated.,Phoenix Nakatani,Active,ERIC-C-01012,Adequate,Journal Entry Approval,RCM-23104,Yes,Adequate,Y
Direct Investing Operations,Account Maintenance,Financial Reporting Risk,Control Account Variances,Low,Low,System Failure,Inappropriate access granted or authorized access not granted,ERIC-R-05013,Risk that financial records or reports are materially misstated.,Reese Rasmussen,Active,ERIC-C-01011,Strong,Control Account Daily Reconciliation,RCM-44179,No,Adequate,Y
Private Banking Operations,Discretionary Portfolio Ops,Processing & Execution Risk,Corporate Action Errors,Medium,Medium,People Failure,"Lack of adequate skills, knowledge, or training",ERIC-R-05014,"Risk that processing errors result in incorrect client positions, delayed settlement, or financial loss.",Jordan Underhill,Under Review,ERIC-C-01008,Strong,Mandatory CA Entitlement Recon,RCM-65444,No,Effective with Exceptions,N
Private Banking Operations,Discretionary Portfolio Ops,Processing & Execution Risk,Corporate Action Errors,Medium,Medium,People Failure,"Lack of adequate skills, knowledge, or training",ERIC-R-05014,"Risk that processing errors result in incorrect client positions, delayed settlement, or financial loss.",Skyler Holloway,Active,ERIC-C-01024,Strong,Bond Maturity Cash Receipt Verify,RCM-86019,Yes,Effective with Exceptions,N
Direct Investing Operations,Account Maintenance,Information Management Risk,Master Data Errors,Medium,Medium,People Failure,Lack of diligence,ERIC-R-05015,"Risk that data is incomplete, inaccurate, or inappropriately retained.",Quinn Velazquez,Active,ERIC-C-01023,Adequate,Reorg Expiry 2BD Pre-Issuer Check,RCM-26683,No,Effective,Y
Direct Investing Operations,Account Maintenance,Information Management Risk,Master Data Errors,Medium,Medium,People Failure,Lack of diligence,ERIC-R-05015,"Risk that data is incomplete, inaccurate, or inappropriately retained.",Rowan Trevelyan,Active,ERIC-C-01008,Adequate,Mandatory CA Entitlement Recon,RCM-65444,No,Effective,N
Private Banking Operations,Discretionary Portfolio Ops,People Risk,Key Person Dependency,High,Medium,Process Failure,"Inadequate design of policy, procedure, or process",ERIC-R-05016,"Risk that staffing gaps, training inadequacies or attrition disrupt operations.",Riley Rasmussen,Active,ERIC-C-01018,Strong,IT Access Quarterly Review,RCM-97806,No,Effective,N
Private Banking Operations,Discretionary Portfolio Ops,People Risk,Key Person Dependency,High,Medium,Process Failure,"Inadequate design of policy, procedure, or process",ERIC-R-05016,"Risk that staffing gaps, training inadequacies or attrition disrupt operations.",Casey Zerafa,Active,ERIC-C-01025,Needs Improvement,Physical Cert Chain-of-Custody Log,RCM-22240,No,Effective with Exceptions,N
Private Banking Operations,Discretionary Portfolio Ops,People Risk,Key Person Dependency,High,Medium,Process Failure,"Inadequate design of policy, procedure, or process",ERIC-R-05016,"Risk that staffing gaps, training inadequacies or attrition disrupt operations.",Skyler Falconer,Active,ERIC-C-01023,Strong,Reorg Expiry 2BD Pre-Issuer Check,RCM-26683,No,Adequate,Y
Capital Markets Operations,FX Operations,Processing & Execution Risk,Manual Processing Errors,High,High,People Failure,"Lack of adequate skills, knowledge, or training",ERIC-R-05017,"Risk that processing errors result in incorrect client positions, delayed settlement, or financial loss.",Avery Velazquez,Active,ERIC-C-01006,Adequate,Client Statement QA Review,RCM-80292,Yes,Not Yet Concluded,Y
Capital Markets Operations,FX Operations,Processing & Execution Risk,Manual Processing Errors,High,High,People Failure,"Lack of adequate skills, knowledge, or training",ERIC-R-05017,"Risk that processing errors result in incorrect client positions, delayed settlement, or financial loss.",Morgan Asher,Active,ERIC-C-01022,Needs Improvement,Critical Date Report Pre-open,RCM-97062,No,Effective,N
Capital Markets Operations,FX Operations,Processing & Execution Risk,Manual Processing Errors,High,High,People Failure,"Lack of adequate skills, knowledge, or training",ERIC-R-05017,"Risk that processing errors result in incorrect client positions, delayed settlement, or financial loss.",Sage Quintero,Active,ERIC-C-01005,Strong,Trade Confirmation Match,RCM-66498,Yes,Effective,Y
Wealth Management Operations,Trade Settlements,Tax Risk,Treaty Application,High,Medium,People Failure,"Lack of adequate skills, knowledge, or training",ERIC-R-05018,"Risk of incorrect tax calculation, reporting, or remittance.",Parker Grenville,Active,ERIC-C-01020,Adequate,FATCA/CRS Indicia Review,RCM-13617,No,Effective,N
Direct Investing Operations,Account Maintenance,Legal Risk,Litigation Exposure,Low,Low,People Failure,"Lack of adequate skills, knowledge, or training",ERIC-R-05019,Risk that contractual or documentation gaps result in litigation or unenforceability.,Taylor Nakatani,Closed,ERIC-C-01014,Strong,Vault Access Authorization,RCM-89276,Yes,Effective with Exceptions,Y
Direct Investing Operations,Account Maintenance,Legal Risk,Litigation Exposure,Low,Low,People Failure,"Lack of adequate skills, knowledge, or training",ERIC-R-05019,Risk that contractual or documentation gaps result in litigation or unenforceability.,Riley Rasmussen,Active,ERIC-C-01010,Strong,Fee Billing Calculation Review,RCM-40828,No,Adequate,Y
Direct Investing Operations,Account Maintenance,Legal Risk,Litigation Exposure,Low,Low,People Failure,"Lack of adequate skills, knowledge, or training",ERIC-R-05019,Risk that contractual or documentation gaps result in litigation or unenforceability.,Rowan Trevelyan,Active,ERIC-C-01019,Strong,BCP Annual Test,RCM-39831,No,Effective,N
Asset Servicing,Physical Certificates,Information Management Risk,Master Data Errors,High,Medium,External Event,External fraud - excluding digital,ERIC-R-05020,"Risk that data is incomplete, inaccurate, or inappropriately retained.",Sasha Linwood,Under Review,ERIC-C-01023,Adequate,Reorg Expiry 2BD Pre-Issuer Check,RCM-26683,No,Effective,Y
Asset Servicing,Physical Certificates,Information Management Risk,Master Data Errors,High,Medium,External Event,External fraud - excluding digital,ERIC-R-05020,"Risk that data is incomplete, inaccurate, or inappropriately retained.",Hayden Rasmussen,Active,ERIC-C-01015,Adequate,Regulatory Reporting Sign-off,RCM-27146,Yes,Effective with Exceptions,N
